Unnamed: 0,play_name,genre,character,act,scene,sentence,text,sex,sentiment
83946,Hamlet,Tragedy,Bernardo,1,1,1,Who's there?,male,0.0
83947,Hamlet,Tragedy,Francisco,1,1,2,"Nay, answer me: stand, and unfold yourself.",male,0.0
83948,Hamlet,Tragedy,Bernardo,1,1,3,Long live the king!,male,0.06
83949,Hamlet,Tragedy,Francisco,1,1,4,Bernardo?,male,0.0
83950,Hamlet,Tragedy,Bernardo,1,1,5,He.,male,0.0
83951,Hamlet,Tragedy,Francisco,1,1,6,You come most carefully upon your hour.,male,0.2
83952,Hamlet,Tragedy,Bernardo,1,1,7,"'Tis now struck twelve; get thee to bed, Francisco.",male,0.0
83953,Hamlet,Tragedy,Francisco,1,1,8,"For this relief much thanks: 'tis bitter cold,",male,-0.17
83954,Hamlet,Tragedy,Francisco,1,1,9,And I am sick at heart.,male,-0.71
83955,Hamlet,Tragedy,Bernardo,1,1,10,Have you had quiet guard?,male,0.0
83956,Hamlet,Tragedy,Francisco,1,1,11,Not a mouse stirring.,male,0.0
83957,Hamlet,Tragedy,Bernardo,1,1,12,"Well, good night.",male,0.7
83958,Hamlet,Tragedy,Bernardo,1,1,13,"If you do meet Horatio and Marcellus,",male,0.0
83959,Hamlet,Tragedy,Bernardo,1,1,14,"The rivals of my watch, bid them make haste.",male,0.0
83960,Hamlet,Tragedy,Francisco,1,1,15,"I think I hear them. Stand, ho! Who's there?",male,0.0
83961,Hamlet,Tragedy,Horatio,1,1,16,Friends to this ground.,male,0.0
83962,Hamlet,Tragedy,Marcellus,1,1,17,And liegemen to the Dane.,male,0.0
83963,Hamlet,Tragedy,Francisco,1,1,18,Give you good night.,male,0.7
83964,Hamlet,Tragedy,Marcellus,1,1,19,"O, farewell, honest soldier:",male,0.6
83965,Hamlet,Tragedy,Marcellus,1,1,20,Who hath relieved you?,male,0.0
83966,Hamlet,Tragedy,Francisco,1,1,21,Bernardo has my place.,male,0.0
